epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3421,1.15036,2.48612,1.51628,0.61818,0.64732,0.67225,0.4566,1.03717,1.33505,1.48519,0.0804416,0.00544156,0.00544156
2,25.1641,0.98683,1.05694,1.32113,0.65208,0.59092,0.64939,0.43585,1.16147,1.87915,1.63364,0.059881,0.010881,0.010881
3,37.1321,1.03926,0.98252,1.32605,0.52808,0.52686,0.50147,0.27829,1.45238,4.23237,1.97002,0.0390963,0.0160963,0.0160963
4,49.0465,1.16437,1.1975,1.39661,0.31676,0.30707,0.13903,0.06127,1.89782,26.2243,2.82628,0.0204733,0.0204733,0.0204733
5,60.7688,1.25122,1.26079,1.47109,0.17029,0.33513,0.10826,0.03933,2.4611,13.8024,3.69715,0.0200424,0.0200424,0.0200424
6,72.4058,1.23068,1.20646,1.45728,0.07794,0.08033,0.02684,0.00813,3.19756,40.9062,4.76026,0.0196114,0.0196114,0.0196114
7,84.0219,1.1973,1.16764,1.44269,0.15375,0.1703,0.08726,0.03307,2.33333,20.7246,3.83673,0.0191804,0.0191804,0.0191804
8,96.2837,1.16492,1.11249,1.41392,0.60597,0.46959,0.50791,0.28723,1.52344,4.34411,2.20781,0.0187494,0.0187494,0.0187494
9,107.967,1.14538,1.03454,1.41044,0.39428,0.274,0.26584,0.14713,1.87086,3.2003,2.65004,0.0183185,0.0183185,0.0183185
10,119.563,1.09477,1.00584,1.36024,0.39552,0.339,0.28906,0.12284,2.08767,2.71177,2.71061,0.0178875,0.0178875,0.0178875
11,131.196,1.07936,0.9576,1.36222,0.46133,0.53033,0.43127,0.25131,1.52196,2.87286,1.89551,0.0174565,0.0174565,0.0174565
12,143.284,1.05476,0.92905,1.33456,0.53914,0.47822,0.53037,0.34232,1.35473,1.83106,1.81655,0.0170256,0.0170256,0.0170256
