epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1957,1.0806,1.82924,1.46428,0.66131,0.7535,0.78295,0.54667,1.05015,1.17953,1.48823,0.0702885,0.00330128,0.00330128
2,54.6974,0.93524,0.97969,1.3109,0.76092,0.79496,0.8153,0.55914,1.11048,0.95688,1.59708,0.0401559,0.00650206,0.00650206
3,81.4789,0.96871,0.92422,1.29576,0.785,0.77658,0.84198,0.56434,1.15906,0.99598,1.59914,0.00989014,0.00956963,0.00956963
4,108.214,1.02189,0.94589,1.33345,0.78323,0.74493,0.81619,0.52718,1.18298,1.02172,1.68511,0.0094006,0.0094006,0.0094006
5,134.557,1.03906,0.95165,1.34386,0.76887,0.74429,0.80275,0.52115,1.23457,1.0213,1.73095,0.0092008,0.0092008,0.0092008
6,161.159,1.05863,0.95884,1.35903,0.73424,0.74521,0.79506,0.53571,1.16045,1.04673,1.59198,0.009001,0.009001,0.009001
7,188.104,1.01659,0.92725,1.34866,0.82856,0.82839,0.87783,0.61341,1.09848,0.85468,1.60516,0.0088012,0.0088012,0.0088012
8,216.311,0.9924,0.85881,1.31463,0.85453,0.77967,0.87994,0.60372,1.08162,1.04491,1.5657,0.0086014,0.0086014,0.0086014
9,244.587,0.97998,0.85614,1.31994,0.85985,0.8132,0.89042,0.63035,1.05622,0.78223,1.53856,0.0084016,0.0084016,0.0084016
10,273.596,0.9459,0.81294,1.28934,0.86979,0.86016,0.91787,0.6714,1.00574,0.7386,1.4358,0.0082018,0.0082018,0.0082018
11,301.625,0.94555,0.79523,1.28796,0.88783,0.83753,0.92048,0.67518,0.98435,0.73653,1.43648,0.008002,0.008002,0.008002
12,327.698,0.93316,0.78361,1.2779,0.88107,0.90151,0.92822,0.69074,0.92027,0.66082,1.36716,0.0078022,0.0078022,0.0078022
13,353.794,0.93273,0.75782,1.26197,0.88524,0.89186,0.93965,0.70807,0.93623,0.62178,1.3702,0.0076024,0.0076024,0.0076024
14,380.751,0.9111,0.7166,1.25432,0.90304,0.88633,0.94994,0.71385,0.93843,0.63938,1.36171,0.0074026,0.0074026,0.0074026
15,406.922,0.89175,0.70939,1.24285,0.85254,0.89392,0.92466,0.68937,0.96168,0.64698,1.41312,0.0072028,0.0072028,0.0072028
16,433.329,0.89216,0.71198,1.24095,0.85765,0.88715,0.91155,0.66631,1.02349,0.70255,1.45896,0.007003,0.007003,0.007003
17,459.733,0.86606,0.69785,1.21998,0.90348,0.90126,0.9453,0.71636,0.91852,0.59907,1.34757,0.0068032,0.0068032,0.0068032
18,485.951,0.87542,0.66841,1.22532,0.90507,0.88762,0.93883,0.72682,0.86558,0.58758,1.29925,0.0066034,0.0066034,0.0066034
19,512.228,0.85989,0.66961,1.22541,0.89818,0.90388,0.94678,0.72525,0.9052,0.60161,1.33557,0.0064036,0.0064036,0.0064036
20,538.527,0.85196,0.64391,1.21425,0.90612,0.90587,0.94502,0.72953,0.87468,0.59155,1.29365,0.0062038,0.0062038,0.0062038
21,564.936,0.82778,0.6184,1.19146,0.88768,0.93583,0.94793,0.74219,0.86119,0.54758,1.28332,0.006004,0.006004,0.006004
22,591.349,0.82635,0.62901,1.19856,0.93749,0.90662,0.96742,0.75939,0.84889,0.542,1.27523,0.0058042,0.0058042,0.0058042
23,617.83,0.80186,0.59588,1.17438,0.90277,0.92844,0.95746,0.76061,0.83995,0.5399,1.2771,0.0056044,0.0056044,0.0056044
24,644.178,0.77963,0.59365,1.17425,0.89428,0.95025,0.95073,0.75413,0.86609,0.526,1.29172,0.0054046,0.0054046,0.0054046
25,670.734,0.78106,0.57091,1.16188,0.9258,0.91175,0.9556,0.75124,0.88327,0.57577,1.29989,0.0052048,0.0052048,0.0052048
26,697.295,0.78647,0.57415,1.17182,0.9028,0.94678,0.95806,0.75653,0.85362,0.52027,1.26562,0.005005,0.005005,0.005005
27,724.283,0.78003,0.57535,1.16198,0.93497,0.9258,0.96711,0.75341,0.83375,0.51118,1.2643,0.0048052,0.0048052,0.0048052
28,750.868,0.75945,0.54187,1.15061,0.93949,0.92316,0.95895,0.75801,0.8278,0.52785,1.25029,0.0046054,0.0046054,0.0046054
29,777.295,0.75187,0.53029,1.14165,0.94115,0.92896,0.96619,0.76412,0.83716,0.49589,1.26381,0.0044056,0.0044056,0.0044056
30,803.512,0.75129,0.52405,1.14773,0.92989,0.93374,0.96879,0.76952,0.8571,0.49114,1.26222,0.0042058,0.0042058,0.0042058
31,829.752,0.75523,0.50999,1.14749,0.92034,0.94191,0.96922,0.77459,0.83129,0.46069,1.26856,0.004006,0.004006,0.004006
